ACTIVITY QUARTAL IV - INFRASTRUCTURE ENGINEER									
									
									
									Done
					Onsite				Progress
					Remote				Hold
ACTIVITY QUARTAL - 4	No	CLIENT	SERVICE	CASE & ISSUE	ACTION	DATE	PIC TIM	DETAIL ACTION	STATUS
									
									
						25 Desember 2025	Samudra & Joni	Hasil Hari Ini : -Penarikan Kabel UTP Pool Bar, Kitchen, Resto, GYM  -Splicing JB distribusi room 306-317 -Trace kabel UTP Outdoor Pool	
						26 Desember 2025	Samudra & Joni	Penarikan : -penarikan AP Outdoor Pool Done -Penarikan FO FB Store Done -Penarikan UTP AP koridor selatan lantai 3 Done -splicing room 302,303,305 -Pemasangan rak panel lantai 3 -Crimping UTP AP poolbar, outdoor pool, depan lift lantai 3,depan lift lantai 2, koridor lantai 2	
						27 Desember 2025	Yogi	Update hari ini : - Penarikan FO ulang ke room 301 done - Crimping UTP sambungan done 10 titik.  Status Pengerjaan Penarikan : - Penarikan dan Penyambungan FO room di atas plafon (room 306-317 ). (Done) - Untuk Penarikan FO ke ruang FB Office Done, masih menunggu ruangan selesai untuk mengetahui posisi ONT nantinya. - Splacing room 301-305. (Done) - Pemasangan rak panel lantai 3 dan Switch Lantai 3. (Done) - Penyambungan 10 titik UTP dan Tarikan UTP baru 2 titik. (Done).	
						28 Desember 2025	Samudra	Pengerjaan hari ini : -splicing JB saf lantai 3 (core yang berisikan redalam dari server 1, 3, 5, 12) : Done -splicing ODP lantai roof agar bisa up hari ini : Done -cek semua room lantai roof : Done	
						29 Desember 2025	Samudra	Pengerjaan hari ini : -Pemasangan ODP lantai 3  -Pemasangan kabel duct -Penyambungan ODP yang mengarah ke room 306-317 -Perapian fo di panel lantai 3	
						30 Desember 2025	Samudra & Beni	Pengerjaan Hari ini ; -crimping UTP panel lantai 3 -Pergantian Splitter panel lantai 1 karena kemarin ada down di lantai tersebut -perapian panel lantai 3 -vlepo lantai 111 bermasalah jadi ganti jadi stb yang sebelumnya inject	
	15	Paradisus Melia Bali	Internet	Instalasi		17 Oktober 2025	Jody, Beni	- Penarikan kabel FO 24 core dari tower ke box panel	
			internet	Troubleshoot		26 oktober 2025	samudra	Troubleshoot Paradisus Melia Bali 26 oktober 2025  Issue : radio offline  Action : kendala listrik di sisi radio yang dimana mcb di panel listrik keadaan off dan saya hidupkan lagi	
			Internet	Instalasi		02 Oktober 2025	Jody, Wawan	- Instalasi Wireless - Penarikan kabel FO dari box panel ke ruang server	
			Internet	Instalasi		03 Oktober 2025	Jody	- Pemasangan Box panel ke tembok	
			Internet	Instalasi		30 Oktober 2025	Jody, Beni, Angga, Azlan	- Instalasi Wireless baru arah POP Imbo	
			Internet	Dismantle		05 November 2025	Jody, Beni	- Dismantle Starlink	
			Internet	Maintenance tower		25 November 2025	Jody, Beni	- Pergantian kawat seling tower - Pergantian Spanskru/spanner dan kuku macan	
			Internet	Maintenance tower		26 November 2025	Jody, Beni, Wawan	- Pergantian kawat seling tower - Pergantian Spanskru/spanner dan kuku macan	
			Internet	Maintenance tower		27 November 2025	Jody, Beni, Joni	- Pergantian kawat seling tower - Pergantian Spanskru/spanner dan kuku macan	
	16	Lokha Ubud	Internet	Troubleshoot		17 Oktober 2025	Samudra	Troubleshoot Lokha Ubud 17 oktober 2025  Action : -ganti mc di sisi server yang mengarah ke area wantilan lokha ubud (ex radio varnion) -speedtest via lan aman  Kendala  -kerusakan kabel UTP yang mengarah ke access point balai bengong area wantilan (milik client)	
	17	Amaris Dewi Sri	Internet	Instalasi		7 Oktober 2025	Samudra	 instalasi dan upgrade bandwith Amaris Dewi Sri 7 Oktober 2025 -penggantian perangkat router 750 ke 4011 -speedtest sesuai upgrade 70Mb Internet sudah normal dan bisa digunakan 	
	18	Chatwood Coffee & Eatery	Internet	Dismantle		20 Oktober 2025	Joni	- RB 750 gr3 - MC tp link (CGS)	
	19	The Anvaya Hotel and Resort	Internet	Dismantle		20 Oktober 2025	Gilang Maulana, Azlan	- All Perangkat Varnion	
	20	The Legian Seminyak 	WAAS	Troubleshoot		20 Oktober 2025	Gilang Maulana, Azlan	- Troubleshoot AP Oceanbeach	
			WAAS	Troubleshoot		16 Desember 2025	Gilang Maulana	Update Visit 16 Desember 2025 - Pemberian Penutup SFP  - Pengambilan AP Rusak (Restaurant Dan Blok E Lt. 2) - Membantu PIC memasang AP Concierge, Restaurant dan Koridor dikarenakan sebelumnya dilepas oleh IT dikarenakan terdapat Project di Lobby, Restaurant dan Blok E  Note: - Dikarenakan AP restaurant Rusak sementara menggunakan AP Koridor Blok E Lt. 1 - Next Visit Bapaknya minta untuk membawa isolasi kertas untuk menutup Port LAN pada setiap switch milik varnion	
			WAAS	Troubleshoot		30 Desember 2025	Yogi	Update Visit The Legian Seminyak 30 Des 2025 : - AP Ocean Beach Sudah online kendala terdapat pada sambungan Barel Eksisting bermasalah. Saat ini sudah di sambung ulang menggunakan barel baru milik hotel. - Untuk room 221 dan 223 sudah di cek dan krimping ulang di panel tetapi kondisi port masih 100 M belum bisa dilakukan pengecekan di kamar karena saat ini masih ada tamu - Untuk kabel Patchcore sudah di serahkan ke IT sebagai spare. Untuk kabel Patchcore setelah di cek di panel yang putus tergigit tikus kabel patchcore switch CCTV bukan Switch Varnion.	
	21	The Bandha Hotel & Suites	WAAS	Drop Barang		20 Oktober 2025	Gilang Maulana, Azlan	- Drop 4 unit AP RG RAP-2266	
	22	Discovery Kartika Plasa Hotel	Internet	Maintenance		23 Oktober 2025	Jody, Azlan	- Pergantian Radio (sebelumnya menggunakan AF 5X diganti menggunakan PB 5AC)	
	23	Pyramid Of Chi	WAAS	Troubleshoot		22 Oktober 2025	Gilang Maulana, Wawan	Update Troubleshoot tanggal 22 Oktober 2025: Kendala: - Switch BOH Offline Action: - Penarikan ulang kabel FO sejauh 50Meter dari Switch Kitchen - AP sudah Online semua dan speedtest area BOH normal	
			Internet	Troubleshoot		5 November 2025	Joni	- supervisi troubleshoot link down dengan team iforte	
			WAAS	Troubleshoot		10 November 2025	Wawan	Update Troubleshoot BB WAAS - FO Cut 90M dari Server -Penarikan ulang 20M ke arah panel Utama dan sambung ulang di OTP yang rusak -Kabel ke OTP sudah dipipa dan dipasang di 1,5M di tembok luar	
	24	Greenfields Hotel Ubud	WAAS	Troubleshoot dan Visit		16 Oktober 2025	Yogi 	- untuk case Switch Resto Offline sudah di cek di lokasi terdapat kendala kabel Pacthcore tergigit tikus di panel resto - Patchcore sudah di ganti dan kondisi Switch dan AP Resto sudah online saat ini. - Akses lobang panel saat ini sudah di tutup menggunakan triplek oleh PIC.	
			internet	Troubleshoot		24 oktober 2025	samudra, wawan	troubleshoot greenfield hotel 24 oktober 2025  Kendala : kamar di panel semampai 1-4 dan 407 offline  Action : setelah di cek putus kabel dari panel kemenyan menuju panel yang bermasalah yang kemungkinan besar karena mesin potong rumput milik warga jadi kami sambung kembali  Note : bisa minta tolong di info untuk posisi kabel ke bapaknya agar tim greenfield tau masalahnya ada dimana dan jikalau bisa warga atau karyawan diminta hati" saat menggunakan mesin potong rumput di dekat jalur kabel	
			WAAS	VIsit		17 Desember 2025	samudra	Regular Technical Visit	
